name,real_name,ring_names,Stable&Team,height,weight,birth_date,birth_place,billed_from,trainer,finisher
Saquon Shugars,Copeland Barbee,Saquon Shugars | Lucky Ali | Lavar Barbie,,185cm,101kg,2000-04-30,"Washington, D.C., U.S.","Washington, D.C., U.S.",Caleb Konley | George South,Elevator | Parkland Plunge
Sean Legacy,Sean Rossini,Sean Legacy,,180cm,94kg,1995-11-28,"Evans, Georgia, United States","Evans, Georgia",VPW,Shambles
Shawn Spears,Ronnie William Arneill,Gavin Spears | Shawn Spears | Tye Dillinger,,191cm,101kg,1981-02-19,"St. Catharines, Ontario, Canada","Niagara Falls, Ontario, Canada",Cody Deaner | Derek Wylde | Eric Young,C4 | Tye Breaker
Shiloh Hill,Thunder Justice Keck,Thunder Justice Keck | Shiloh Hill,,190cm,105kg,1999-02-04,"Northfield, New Hampshire, U.S.","Northfield, New Hampshire, U.S.",WWE Performance Center | The Undertaker,Whisper Of The Beast
Tank Ledger,Joe Spivak,Tank Ledger,Hank & Tank,180cm,136kg,1999-10-11,"Chicago, Illinois","Chicago, Illinois","WWE Performance Center,Baba Bomb | Fisherman's Spinebuster
Tate Wilder,Case Hatch,Tate Wilder,,182cm,104kg,19997-09-06,"Gilbert, Arizona, United States","Gilbert, Arizona, United States",WWE Performance Center,Wild Ride
Tavion Heights,G'Angelo Hancock,Tracy Hancock | Tavion Heights,,185cm,97kg,1997-07-27,"Fountain, Colorado","Fountain, Colorado",WWE Performance Center | The Great Muta | Naomichi Marufuji,Heights Bomb
Tony D'Angelo,Joseph Ariola,Joe Ariola | Joey Ariola | Tony D'Angelo,,183cm,110kg,1995-06-09,"Oak Park, Illinois, U.S.","Chicago, Illinois",WWE Performance Center,Dead To Rights | Forget About It
Tristan Angels,Nathaniel Cranton,Nathaniel Cranton | Nathan Angel | Tristan Angels,,190cm,,2003-06-09,"Wareham, Dorset, England","Wareham, Dorset, England",Pudsey Charity Wrestling,Knee Drop Bulldog
Uriah Connors,Brogan Finlay,Brogan Finlay | Uriah Connors,Birthright,185cm,91kg,2002-08-06,"Atlanta, Georgia, U.S.","Atlanta, Georgia",AR Fox | Fit Finlay | WWA4 Wrestling School,Religious Exemption
Adriana Rizzo,Anna Jade Keefer,Anna Keefer | Adriana Rizzo,,165cm,54kg,1998-12-26,"Albertville, St.Michael, Minnesota, U.S.","Albertville, St.Michael, Minnesota, U.S.",WWE Performance Center,Taste Of Rizzotto
Arianna Grace,Bianca Sophia Carelli,Arianna Grace | Bianca Carelli,Birthright,170cm,63kg,1995-06-29,"Mississauga, Ontario, Canada","Mississauga, Ontario, Canada",Tyson Dux | Santino Marella,Graceland | Shining Wizard
Izzi Dame,Franki Carissa Strefling,Franki Strefling | Franki Carissa | Izzi Dame,The Culling,178cm,65kg,1999-07-13,"Buchanan, Michigan, U.S.","Buchanan, Michigan",WWE Performance Center,I DRIVE | Big Boot
Jaida Parker,Tiana Lillian Marie Caffey,Tiana Caffey | Jaida Parker,Out The Mud,170cm,,1999-02-12,"Port St. Lucie, Florida, U.S.","Port St. Lucie, Florida",Sara Del Rey | WWE Performance Center,Hipnotic | Deja-Vu
Kali Armstrong,Destinee Brown,Destinee Brown | Kali Armstrong,,165cm,,1994-07-06,"Inglewood, California, U.S.","Inglewood, California",WWE Performance Center,Kali Connection
Karmen Petrovic,Monika Klisara,Monika Klisara | Karmen Petrovic,,165cm,54kg,1995-10-29,"Zenica, Bosnia and Herzegovina","Toronto, Ontario, Canada",WWE Performance Center | Sara Amato,Petrifier | Spinning Heel Kick
Kelani Jordan,Lea Simone Mitchell,Lea Mitchell | Kelani Jordan,,165cm,,1998-10-22,"Boynton Beach, Florida, U.S.","Boynton Beach, Florida",WWE Performance Center | Sara Del Rey,One Of a Kind
Kendal Grey,Peyton Prussin,Kendal Grey | Peyton Prussin,,163cm,,2001-06-15,"Las Vegas, Nevada, U.S.","Las Vegas, Nevada",Sara Amato | WWE Performance Center,Arm Bar | Shades Of Grey
Layla Diggs,Breanna Covington,Breanna Covington | Layla Diggs,,,,,"Fresno, California, U.S.","Fresno, California",WWE Performance Center,Moonsault
Lizzy Rain,Rayne Leat,Rayne Leverkusen | Lizzy Rain,,170cm,60kg,1998-01-12,"London, England","London, England",Sid Scala,Thunderstruck
Lola Vice,Valerie Loureda,Valerie Loureda | Lola Vice,,163cm,57kg,1998-07-19,"Miami, Florida","Miami, Florida",WWE Performance Center | Sara Amato,Uraken
Myka Lockwood,PBayley Humphrey,Bayley Humphrey | Myka Lockwood,The Vanity Project,178cm,,2001-06-07,"Chandler, Arizona, U.S.","Chandler, Arizona, U.S.",WWE Performance Center,Brain Crow | Double Pumphandle Front Powerslam
Nikkita Lyons,Faith Marie Jefferies,Faith | FaithyJ | Faith The Lioness | Nikkita Lyons,,173cm,70kg,1999-08-05,"Las Vegas, Nevada, U.S.","Las Vegas, Nevada | Los Angeles, California",Selina Majors,Tornado Kick | Spirit Leg Drop
Reina Volcán,Nicole Ripoll Martinez,Nikki Blackheart | Reina Volcan,,,,1997-01-28,"Puerto Plata, Dominican Republic","Puerto Plata, Dominican Republic",Gangrel,Volcán Death Grip
Skylar Raye,Danielle Raye Sekelsky, Dani Sekelsky | Dani Raye | Skylar Raye,,,,2001-06-30,"Bethel, Connecticut, U.S.","Bethel, Connecticut, U.S.",WWE Performance Center,The Shooting Star
Tatum Paxley,Natalie Elizabeth Beidelschies,Tatum Paxley,,165cm,55kg,1996-10-29,"Dallas, Texas, U.S.","Dallas, Texas",WWE Performance Center,Psyco Trap
Thea Hail,Madison Knisley,Nikita Knight | Thea Hail,,165cm,57kg,2003-09-09,"Pittsburgh, Pennsylvania, U.S.","Pittsburgh, Pennsylvania",Brandon K. | WWE Performance Center,Kimura Lock
Wendy Choo,Karen Yu,Karen Q | Karen Yu | Mei Ying | Wendy Choo,,157cm,,1992-01-18,"New York City, New York, U.S.","Chinatown, N.Y. (as Karen Q)""The City That Never Sleeps"" (as Wendy Choo)",Damian Adams | Johnny Rodz | Sara Del Rey | WWE Performance Center,Cobra Clutch | Full Nelson Slam
Wren Sinclair,Madison Dombkowski,Madi Wrenkowski | Madi | Wren Sinclair,,168cm,,1995-05-25,"Dallas, Texas, U.S.","San Antonio, Texas, U.S.",Hybrid School Of Wrestling | WWE Performance Center | Jazz,Final Wrench
Zaria,Daria Hodder,Delta Brady | DELTA | Zaria,,173cm,75kg,1999-05-11,"Townsville, Queensland, Australia","Adelaide, South Australia",Chris Basso | Matt Basso,F6
#Evolve
Aaron Rourke,,Aaron Rouke,,,,1995-12-01,"Long Island, New York, U.S.","Long Island, New York, U.S.",PVP | CAP | IWA Mid-South,Molly-Go-Round | Cradle DDT
Cappuccino Jones,,Cappuccino Jones,,180cm,73kg,2002-08-16,"Tulsa, Oklahoma, U.S.","Tulsa, Oklahoma",Wrestle Against Hunger,Double Shot | Frogy Brew | Decaffeinator
Starboy Charlie,Charlie Hilder,Starboy Charlie | Monsterboy Charlie | Cowboy Charlie | Avenger Kid Charlie | Chazz Hall,,168 cm,70 kg,2003-02-05,"California, United States","California, United States",The Gold Mine,450 Splash | Cosmic Cutter
Elijah Holyfield,Elijah Esaias Holyfield,Elijah Holyfield,,178cm,98kg,1997-11-30,"College Park, Georgia, U.S.","College Park, Georgia, U.S.",WWE Performance Center | The Undertaker,The Uppercut
It's GAL,Gal Barkay,It's GAL | GAL | Gal Varkay | Payline,,,93kg,2002-01-28,"Tel Aviv, Israel","Tel Aviv, Israel",All Wrestling Organization,Mediterranean Splash | Spear
Braxton Cole,Camden Gagnon,Braxton Cole,,193cm,102kg,,"Goffstown, New Hampshire, U.S.","Goffstown, New Hampshire, U.S.",WWE Performance Center (Fit Finlay | Robbie Brookside),Running Chop Block
Harlem Lewis,Vincent Winey,Harlem Lewis | Vincent Winey,,185cm,110kg,2000-06-11,"Lindenhurst, New York, U.S.","Lindenhurst, New York, U.S.",WWE PerFormance Center,Jack Hammer
PJ Vasa,Penina Tuilaepa,PJ Vasa | Penina Tuilaepa,,174cm,,1999-04-??,"Las Vegas, Nevada, U.S.","Las Vegas, Nevada",WWE Performance Center,Fireman's Carry
Zena Sterling,Olena Sadovska,Zena Sterling | Olena Sadovska,,170cm,61kg,2004-02-18,"Lviv, Ukraine","Lviv, Ukraine",WWE Performance Center,Spider's Web
Kai Kavari,Cyrus Habibi-Likio,Kai Kavari | Cyrus,,185cm,96kg,,"Palo Alto, California, U.S.","Palo Alto, California, U.S.",WWE Performance Center,Springboard Moonsault
Jax Preslay,Kyle Klink, Jax Presley,,193cm,111kg,1999-10-20,"Middletown, Maryland, U.S.","Middletown, Maryland, U.S.", WWE Performance Center,Not Yet
Aria Bennett,Ajiea Lee Hargrave,Ajiea Lee Hargrave | Aria Bennett,,157cm,,1995-05-26,"Reading, Pennsylvania, U.S.","Reading, Pennsylvania, U.S.",WWE Performance Center,Not Yet
Chantel Monroe,Derrian Gobourne,Derrian GObourne | Chantel Monroe,,163cm,,2000-01-10,"Killeen, Texas, U.S.","Killeen, Texas, U.S.",WWE Performance Center,LayOut
