name,real_name,ring_names,Stable&Team,height,weight,birth_date,birth_place,billed_from,trainer,finisher
Nattie,Natalie Katherine Neidhart,Nadia Hart | Natalya Neidhart | Nattie Neidhart | Natalie Neidhart | Natalya,,166cm,61kg,1982-05-27,"Calgary, Alberta, Canada","Calgary, Alberta, Canada",Bruce Hart | Clive Lewellin | Ross Hart | Tokyo Joe | Tyson Kidd,Sharpshooter
Nikki Bella,Nicola Mariel Garcia-Colace,Nikki Bella | Nicole Bella,Bella Twins,168cm,,1983-11-21,"San Diego, California, U.S.","Scottsdale, Arizona",Tom Prichard | Natalya Neidhart | WWE Performance Center,Bella Buster | Rack Attack
Raquel Rodriguez,Victoria González,Reina Gonzalez | Raquel Gonzalez | Raquel Rodriguez,Judgement Day,187cm,85kg,1991-01-12,"La Feria, Texas, U.S.","Rio Grande Valley, Texas",George de la Isla | Richard Aleman | WWE Performance Center,Tehana Bomb
Roxanne Perez,Carla Gonzalez,ROK-C | Roxanne Perez,Judgement Day,155cm,52kg,2001-11-05,"Laredo, Texas, U.S.","Laredo, Texas",ROW | Booker T, Pop Rox
Sol Ruca,Calyx Harmony Hampton,Sol Ruca,,173cm,63kg,1999-08-26,"Hawaii, U.S.","Honolulu, Hawaii",WWE Performance Center,Sol Snatcher
Stepahnie Vaquer,Ana Stephanie Vaquer González,Stephanie Vaquer | Dark Angel,,160cm,50kg,1993-03-29,"Valparaíso, Chile","Santiago, Chile",,SVB | Vaquer Inferno
#SmackDown
Angel,Humberto Garza Solano,El Higo del Ninja | Humberto Garza | Garza Jr. | Angel | Angel Garza,Los Garza,181cm,93kg,1992-09-23,"Monterrey, Nuevo León, Mexico","Monterrey, Mexico",Arturo Beristain | Mario Segura,Wing Clipper
Axiom,Carlos Ruíz,El Nino Anonimo | The Kung-Fu Kid | Anonymous Kid | A-Kid | Axiom,Fraxiom,173cm,70kg,1997-05-09,"Madrid, Spain","Madrid, Spain",,Golden Ratio | Spanish Fly
Baron Corbin,Thomas Pestock,Baron Corbin | Bishop Dyer | Happy Corbin | King Corbin | Tom Pestock,,200cm,129kg,1984-09-13,"Kansas, U.S.",Kansas City,Billy Gunn | Johnny Stamboli | Norman Smiley | WWE Performance Center,End of Days | Deep Six
Berto,Humberto Garza Carrillo,Ultimo Ninja | Humberto Carrillo | Humberto | Berto,Los Garza,185cm,90kg,1995-10-20,"Monterrey, Nuevo Leon, Mexico","Monterrey, Mexico",Mario Segura | Mr. Lince,Rounding Moonsault
Carmelo Hayes,Christian Brigham,Christian Casanova | Carmelo Hayes,,172cm,95kg,1994-08-01,"Massachusetts, U.S.","Worcester, Massachusetts | Boston, Massachusetts",Brian Fury | WWE Performance Center,Nothing But net
CM Punk,Phillip Jack Brooks,CM Punk,,185cm,99kg,1978-10-26,"Chicago, Illinois, U.S.","Chicago, Illinois",Lunatic Wrestling Federation,Go To Sleep | Anaconda Vise
Cody Rhodes,Cody Garrett Runnels,Cody | Cody R | Cody Rhodes | Cody Runnels | Fuego 2 | Stardust,,188cm,98kg,1985-06-30,"Atlanta, Georgia | Charlotte, North Carolina | The Fifth Dimension | Marietta, Georgia","Atlanta, Georgia",Al Snow | Danny Davis | Dusty Rhodes | Dustin Rhodes | Randy Orton | Ricky Morton,Cross Rhodes
Damian Priest,Luis Martinez,Damian Martinez | Damian Priest | Luis Martinez | Punisher Martinez | Punishment Martinez,,196cm,113kg,1982-09-26,"New York City, U.S.",New York City,Monster Factory | WWE Performance Center,South of Heaven | Razor's Edge
Drew McIntyre,Andrew McLean Galloway IV,Drew Galloway | Drew McIntyre | El Elegido | El Ven Bailalo | Hamlet Macbeth,,197cm,125kg,1985-06-06,"Ayr, Scotland","Ayr, Scotland",Spinner McKenzie | Justin Richards | Mark Sloan | James Tighe | Colin McKay,Claymore
Elton Prince,Lewis Howley,Lewis Howley | Blumenfeld | Eddie Cornell | Elton Prince,Pretty Deadly,185cm,78kg,1997-05-21,"Essex, England","Essex, England",WWE Performance Center,Spilt Milk
Finn Bálor,Fergal Devitt,Finn Balor | Fergal Devitt | Prince Devitt | Pegasus Kid II | C.T.U Ranger Red II,,180cm,86kg,1981-07-25,"Bray, County Wicklow, Ireland","Bray, County Wicklow, Ireland",NWA UK Hammerlock,Coup De Grace
Gunther,Walter Hahn,Big Daddy Walter | Big Van Walter | Herr Shark | Gha-Cha-Ping | Gunther | Walter,,194cm,119kg,1987-08-20,"Vienna, Austria","Vienna, Austria",Michael Kovac | Riki Choshu | Tatsuhito Takaiwa | Tomohiro Ishii,PowerBomb Pin | Sleeper Hold | Last Symphony
Ilja Dragunov,Ilja Rukober,Ilja Dragunov,,178cm,95kg,1993-10-10,"Moscow, Russia","The Soviet Union | Moscow, Russia | Dresden, Germany",Axel Tischer | Rick Baxxter | The Hart Dungeon 2.0,Torpedo Moscow | H-Bomb | Sleeper Hold
Johnny Gargano,John Anthony Nicholas Gargano,Johnny Gargano | Joey Gary | Cedrick Von Haussen,,174cm,90kg,1987-08-14,"Lakewood, Ohio, U.S.","Cleveland, Ohio | The Land of Cleve, Ohio Schaan, Liechtenstein",Josh Prohibition | J.T. Lightning,Gargano Escape | One Final Beat
Kevin Owens,Kevin Yanick Steen, Super Dragon II | Kevin Steen | Kevin Owens,,178cm,121kg,1984-05-07,"Saint-Jean-sur-Richelieu, Quebec, Canada","Saint-Jean-sur-Richelieu, Quebec, Canada",Serge Jodoin | Jacques Rougeau | Carl Ouellet,Pop Up Powerbomb | Stunner | Package Piledriver
Kit Wilson,Samuel Stoker,Kit Wilson | Sam Stoker | Sammy Smooth,Pretty Deadly,180cm,79kg,1994-08-04,"London, England","Buckinghamshire, England",WWE Performance Center,Men Cry Too | Spilt Milk
Matt Cardona,Matthew Brett Cardona Jr.,Brett Major | Matt Cardona | Zack Ryder,,188cm,101kg,1985-05-14,"Merrick, New York, U.S.","Long Island, New York",Mikey Whipwreck,Radio Silence
The Miz,Michael Gregory Mizanin,Calgary Kid | Mike Mizanin | The Miz | Mike The Miz | Mizco Inferno | Miz,,185cm,100kg,1980-10-08,"Calgary, Alberta, Canada | Cleveland, Ohio | Hollywood, California","Cleveland, Ohio",Al Snow | Bill DeMott | Ultimate Pro Wrestling,Skull Crushing Finale | Figure Four Leglock
Nathan Frazer,Benjamin Carter,Ben Carter | Benjamin Carter | CJ Storm | Nathan Frazer,Fraxiom,178cm,83kg,1998-07-23,"Jersey, Channel Islands, England","Jersey, Channel Islands, England",Seth Rollins | Marek Brave,Pheonix Splash
R-Truth,Ronnie Aaron Killings,K. Malik Shabaz | K-Kwik | K-Krush | Ron Killings | R-Truth | R–Ziggler Ron Cena,,188cm,100kg,1972-01-10,"Charlotte, North Carolina, U.S.","Charlotte, North Carolina",Chris Hamrick | George South | Italian Stallion | Manny Fernandez,Little Jimmy | AA | STF
Randy Orton,Randal Keith Orton,Randy Orton,,196cm,131.5kg,1980-04-01,"Knoxville, Tennessee, U.S.","St. Louis, Missouri",Bob Orton Jr. | Fit Finlay | Mid Missouri Wrestling Alliance | Ohio Valley Wrestling,RKO | Punt Kick
Rey Fénix,????,Fénix | Fénix el Rey | King | The King | King Phoenix | Máscara Oriental | Rey Fénix,,177cm,83kg,1990-12-30,"Mexico City, Mexico","Ecatepec, Mexico",El Apache | Cuchillo | Pequeño Black Shadow | Skayde | Tony Salazar,Mexican Muscle Buster | Fenix Driver
Ricky Saints,Richard Starks,Ricky Starks | Ricky Saints,,183cm,88kg,1990-02-21,"New Orleans, Louisiana, U.S.","New Orleans, Louisiana",Mr. Mexico II,Roshambo | Revolution DDT
Royce Keys,William Hobson,Royce Keys | Powerhouse Hobbs | Will Hobbs | Will.I.IS | Will Rood,,185cm,122kg,1985-01-23,"East Palo Alto, California, U.S.","East Palo Alto, California, U.S.",APW Boot Camp | Donovan Morgan | Ezekiel Jackson | Frank Murdoch | Michael Modest | Roland Alexander,Ultimate Spinebuster
Sami Zayn,Rami Sebei,Big Larry | El Generico | Rami Sebei | Stevie McFly | Sami Zayn,,185cm,96kg,1984-07-12,"Laval, Quebec, Canada","Montreal, Quebec, Canada | Tijuana, Mexico",Jerry Tuite | Savio Vega,Helluva Kick | Blue Thunder Bomb | Brainbustaaah!!
Shinsuke Nakamura,Shinsuke Nakamura,Shinsuke Nakamura | King Nakamura,,188cm,104kg,1980-02-24,"Kyōtango, Kyōto, Japan","Kyoto, Japan",New Japan Pro-Wrestling,Kinshasa
Solo Sikoa,Joseph Yokozuna Fatu,Sefa Fatu | Solo Sikoa,,181cm,110kg,1993-03-18,"Sacramento, California, U.S.","Las Vegas, Nevada",Rikishi | WWE Performance Center | Kenny King | Sinn Bodhi,Samoan Spike | Spinning Solo
Talla Tonga,Taula Tautuiaki Koloamatangi,Leo Tonga | Hikuleo | Talla Tonga,The Tongas,206cm,120kg,1991-02-07,"Nukuʻalofa, Tonga","Florida, U.S.",Bad Luck Fale | Super Strong Machine | Bubba Ray Dudley | D-Von Dudley,God Send
Tama Tonga,Alipate Aloisio Leone,Kava | King Tonga Jr. | Pate Fifita | Tama Tonga,The Tongas,183cm,95kg,1982-10-15,"Nukuʻalofa, Tonga","Florida, U.S.",Dudley Boyz | Ricky Santana | Haku | Jado | Karl Anderson,Villeno | Cut Throat | Jumping Flatliner
Trick Williams,Matrick Mondre Belton,Trick Williams,,193cm,113kg,1994-05-26,"Columbia, South Carolina, U.S.","Columbia, South Carolina",CZW Academy | DJ Hyde | Knok | X Academy | Matt Bloom | Norman Smiley | Robbie Brookside | Shawn Michaels | WWE Performance Center,Trick Shot | Trick Kick
Alexa Bliss,Alexis Cabrera,Alexa Bliss,,155cm,46kg,1991-08-09,"Columbus, Ohio, US","Columbus, Ohio",Mike Quackenbush | WWE Performance Center,Twisted Bliss | Sister Abigail DREAM DDT
B-Fab,Briana Brandy,B-FAB | Briana Brandy,,175cm,62kg,1990-11-22,"Canton, Ohio, U.S.","Canton, Ohio",Dru Onyx | Tyson Kidd | Natalya Neidhart | Matt Bloom | Sara Del Rey,Neck Breaker
Bianca Belair, Bianca Blair Crawford, Bianca Belair,,170cm,75kg,1989-04-09,"Knoxville, Tennessee, U.S.","Knoxville, Tennessee",WWE Performance Center,Kiss of Death
Blake Monroe,Mariah May Mead,Blake Monroe | Mariah May | Mariah Eagan | Sexy Dynamite Princess,,173cm,64kg,1998-08-04,"London, England","London, England",CACC Snake Pit Japan | Knucklelocks,Glamour Shot
Candice LeRae,Candice Gargano,Candice LeRae | Candice Wrestling | Robyn | Sweet Candy,,157cm,50kg,1985-09-25,"Riverside, California, U.S.","Anaheim, California | Riverside, California | Winnipeg, Manitoba, Canada | Mr. Toad's Wild Ride",Bill Anderson | Jesse Hernandez | T. J. Perkins | WWE Performance Center,Wicked Stepsister
Charlotte Flair,Ashley Elizabeth Fliehr,Charlotte Flair,,178cm,68kg,1986-04-05,"Charlotte, North Carolina, U.S.","""The Queen City""",Lodi | Sara Del Rey | Ric Flair,Figure Eight | Natural Selection | Running Big Boot
Chelsea Green,Chelsea Anne Cardona,Chelsea | Jaida | Laurel Van Ness | Megan Miller | Reklusa | Chelsea Green,,170cm,57kg,1991-04-04,"Victoria, British Columbia, Canada","Victoria, British Columbia, Canada",Lance Storm | WWE Performance Center,UnPrettyHer
Fallon Henley,Theresa Lee Schuessler,Tesha Price | Tenilla Price | Anna Scheer | Fallon Henley,Fatal Influence,170cm,,1994-09-25,"Tampa, Florida, U.S.","Chelsea, Michigan",Rain | WWE Performance Center,Shinning Wizard | Fame Asser
Giulia,Eimi Gloria Matsudo,Giulia,,162cm,55kg,1994-02-21,"London, England","Tokyo, Japan",Hideki Suzuki | Mio Shirai | Tsukasa Fujimoto | Milano Collection A. T.,Northern Lights Bomb
Jacy Jayne,Taylor Grado,Avery Taylor | Jacy Jayne,Fatal Influence,168 cm,52 kg,1996-06-02,"Florida, U.S.","Florida, U.S.",Jay Lethal | Matt Sydal | WWE Performance Center,Rolling Encore
Jade Cargill,Jade Cargill,Jade Cargill,,178 cm,73 kg,,"Gifford, Florida, U.S.","Vero Beach, Florida",All Elite Wrestling,Jaded
Jordynne Grace,Patricia Forrest Parker,Jordynne Grace,,160cm,71kg,,"Austin, Texas, U.S.","Austin, Texas",Mr. BPapa Don | George de la Isla,Beast Mode
Kiana James,Kayla Klingensmith,XTina Kay | Kayla Inlay | Kiana James,,173cm,,1997-05-23,"Sioux City, Iowa, U.S.","Sioux City, Iowa",All Elite Wrestling,401K | Deal Breaker
Lainey Reid,Tylynn Register,Lainey Reid | Tylynn Register,Fatal Influence,167cm,61kg,1998-10-02,"Gadsden, Alabama, U.S.","Gadsden, Alabama, U.S.",WWE Performance Center (Sara Amato),Running Knee Strike
Lash Legend,Anriel Howard,Lash Legend,The Irresistible Forces,183cm,109kg,1997-05-06,"Atlanta, Georgia, U.S.","Atlanta, Georgia",WWE Performance Center,Lash Extension
Michin,Stephanie Hym Lee,Jade | Mia Yim | Michin | "Michin" Mia Yim | Reckoning,,170cm,60kg,1989-04-16,"Los Angeles, California, U.S.","San Diego, California | Fontana, California",John Kermon | Mark Bravura | CA Elliot | Christian York | ROH | Dojo (Daizee Haze) | WWE Performance Center (Sara Amato),Seoul Food
Nia Jax,Savelina "Lina" Fanene,Lina Fanene | Nia Jax,The Irresistible Forces,183cm,116kg,1984-05-29,"Sydney, New South Wales, Australia","San Diego, California",WWE Performance Center, Annihilator
Naomi,Trinity McCray Fatu,Naomi | Trinity | Naomi Night| Naomi Knight | Trinity McCray | Ms.Florida,,165cm,57kg,1987-11-30,"Sanford, Florida, U.S.","Orlando, Florida",Jimmy Jacobs | WWE Performance Center,Rear View
Piper Niven,Kimberly Benson,Miss Viper | Viper | Vyper | Big Van Viper | Doudrop | Piper Niven,,166cm,94kg,1991-05-06,"Airth, Scotland","Airth, Scotland",WWE Performance Center,Michinoku Driver | Blackhole Slam
Rhea Ripley,Demi Bennett,Demi Bennett | Rhea Ripley,,175cm,77kg,1996-10-11,"Adelaide, South Australia, Australia","Adelaide, South Australia",Riot City Wrestling,Riptide
Tiffany Stratton,Jessica Lynn Woynilko,Tiffany Stratton,,171cm,65kg,1999-05-01,"Prior Lake, Minnesota, U.S.","Minneapolis, Minnesota",WWE Performance Center,Prettiest Moonsault Ever (PME)
#Free Agent
Brock Lesnar,Brock Edward Lesnar,Brock Lesnar,,191cm,129kg,1977-07-12,"Webster, South Dakota, U.S.","Minneapolis, Minnesota | Suplex City",Ohio Valley Wrestling,F-5 | Kimura Lock
Danhausen,Donovan Andrew Danhausen,Danhausen | Donovan Danhausen | Kid Gorgeous,,178cm(200cm),82kg(136kg),1990-08-17,"Detroit, Michigan, U.S.","""Someplace far away""""1311 Mockingbird Lane""",Jimmy Jacobs | Truth Martini,Very Nice Very Knee-Vil | Goodnighthausen
Omos,Tolulope "Jordan" Omogbehin,Jordan Omogbehin | Big Jordan | Big Ninja | Omos,,221cm,189kg,1994-05-16,"Lagos, Nigeria","Lagos, Nigeria",WWE Performance Center,JKCB | Last Ride | Gorilla Press
Paige,Saraya-Jade Bevis,Britani Knight | Paige | Saraya,,174cm,54kg,1992-08-17,"Norwich, Norfolk, England","Norwich, England",World Association of Wrestling,Rampaige | PTO
#NXT
